热词,PC1,PC2
"声东击西,调虎离山,边牧,关门,孙子兵法,聪明,把门,狗子,三十六计,傻狗,一招,兵法,团伙作案,笑死我了,配合,九转,大肠,关上,主人,玩你,玩狗,盖以,诱敌,商量,两只,走为上计,狗离,前狼假寐,对视,好聪明",10253869.007134477,386188.76703694114
"马赫,奥特曼,拼音,速度,中国,嫦娥,文物,大英博物馆,导弹,奥特之王,日本,归还,change,月球,国家,回来,真有,东西,中文,OK,三十而立,打击,命名,回收,九转,大肠,概念,真的有,宕机,汉字",2747172.0478979284,-42564.97688488603
"好漂亮,蒋依依,好美,明星,漂亮,长大,佟丽娅,感觉,姑娘,有气质,好像,真好看,好看,裤子,女孩子,好美啊,小女孩,美女,链接,长得,猪头,好好看,有点像,气质,女儿,衣服,羡慕,宕机,小孩,有链接",2477036.9184811004,-23437.82009287584
"抽象,想闻,OK,咋了,胳肢窝,嘎吱,评论区,文案,照片,调皮,身材,感觉,宕机,九转,大肠,搞笑女,朋友圈,笑死我了,喜欢,屌丝,不好,性感,不想,猪头,好看,发呆,不处,长得,拉屎,学会了",422454.29293159954,124472.30659678386
"叔叔,大冰,郭展,两小时,睡眠,神来,不来,自我介绍,忘词,说的就是,心路历程,零零星星,点到,生活,变帅,睡了,看过,挺逗,太棒,好看,公主,别买,小龙哥,宁酱,熊本熊,QIKI,可乐,河北,文旅,软广",-3377361.422432641,52006.708676168026
"喜欢,卷毛,老公,帅哥,宝宝,好帅,调皮,思念,生命,也有,呼吸,猪头,我喜欢,我去,OK,好喜欢,有你,发呆,爆灯,好看,刷到,不处,迷糊,想谈,我老公,爱心,感觉,讨厌,香菜,给你",-3244436.6359464326,233371.24858220795
"时间,想起,难过,创可贴,幸福,的人,伤害,回忆,感觉,伤口,分手,事情,发现,都会,情绪,哭了,创口贴,不想,记得,宝宝,忘记,喜欢,一个人,抱抱,幸福的,伤疤,文案,记忆,好像,痛苦",-3509700.08811112,49656.43693684485
"清道夫,辣条,手套,福寿螺,甲鱼,黄辣丁,河虾,带个,掰断,看着,爱看,发呆,解压,宕机,好看,九转,大肠,龙虾,这是,好爽,OK,王八,折叠屏,感觉,看得,斯内克,还能,能不能,淹死,小龙虾",8353012.940637599,-111344.34339470611
"感谢,英雄,爱心,致敬,平安,好人,一生,点赞,舍己救人,致敬英雄,平安果,抱抱,保佑,人民,学习,辛苦了,舍已救人,救人,英雄们,抱拳,你点赞,老天,救人英雄,惊讶,人民英雄,敬礼,平平安安,长命百岁,注意安全,民警",279134.70677435864,24024.624570597145
"大郎,眼神,表情,妈妈,好可爱,吃药,猫猫,笑死我了,小猫,大朗,猫咪,好委屈,非死不可,宕机,小眼神,OK,九转,大肠,不想,喝药,发呆,宝宝,感觉,好像,给你,配合,回来,样子,小表情,看着",3812755.750349938,188770.50867973137
"握把,消音器,垂直握把,三角,M416,四倍镜,后坐力,消音,不好,压不住,子弹,m4,不好用,小黄车,压枪,感觉,M4,直角,轻型握把,喜欢,好用,玩意,确实,雷神,扩容,拇指,不稳,漂亮,弹鼓,不错",4111490.48279784,-44053.28968302773
"OK,展示,八字,宕机,老实,发呆,牛逼,阿迪达斯,阿迪,评论区,摩托车,惊恐,试试,广告,逆天,大王,摩托,九转,大肠,素材,用户,无敌,老祖宗,回去,nb,讨厌,看评论区,笑死我了,打钱,哥们",-2059012.273720798,85101.64422602404
"退后,先看,男朋友,OK,评论区,喜欢,让我,回来吧,好了,艾特,快递,宝宝,姐姐,欢看,他好,给我,爱看,菜鸟驿站,帮我,好看,没事了,调皮,美女,对象,大妹子,娇妻,回来,朋友,身材,网易",-1978952.5864385136,269089.5568164285
