热词,PC1,PC2
"清道夫,辣条,手套,福寿螺,甲鱼,黄辣丁,河虾,带个,掰断,看着,爱看,发呆,解压,宕机,好看,九转,大肠,龙虾,这是,好爽,OK,王八,折叠屏,感觉,看得,斯内克,还能,能不能,淹死,小龙虾",9094873.702575056,-50053.541307516345
"感谢,英雄,爱心,致敬,平安,好人,一生,点赞,舍己救人,致敬英雄,平安果,抱抱,保佑,人民,学习,辛苦了,舍已救人,救人,英雄们,抱拳,你点赞,老天,救人英雄,惊讶,人民英雄,敬礼,平平安安,长命百岁,注意安全,民警",1020439.8189056041,58029.75553735028
"大郎,眼神,表情,妈妈,好可爱,吃药,猫猫,笑死我了,小猫,大朗,猫咪,好委屈,非死不可,宕机,小眼神,OK,九转,大肠,不想,喝药,发呆,宝宝,感觉,好像,给你,配合,回来,样子,小表情,看着",4553255.916012591,221428.83282375487
"握把,消音器,垂直握把,三角,M416,四倍镜,后坐力,消音,不好,压不住,子弹,m4,不好用,小黄车,压枪,感觉,M4,直角,轻型握把,喜欢,好用,玩意,确实,雷神,扩容,拇指,不稳,漂亮,弹鼓,不错",4853080.205803895,-1501.2748693512112
"OK,展示,八字,宕机,老实,发呆,牛逼,阿迪达斯,阿迪,评论区,摩托车,惊恐,试试,广告,逆天,大王,摩托,九转,大肠,素材,用户,无敌,老祖宗,回去,nb,讨厌,看评论区,笑死我了,打钱,哥们",-1317955.8379512015,87247.99946022348
"退后,先看,男朋友,OK,评论区,喜欢,让我,回来吧,好了,艾特,快递,宝宝,姐姐,欢看,他好,给我,爱看,菜鸟驿站,帮我,好看,没事了,调皮,美女,对象,大妹子,娇妻,回来,朋友,身材,网易",-1238783.424954447,300019.05371017195
"聪明,好聪明,宕机,发呆,好可爱,小猫,福福,猫猫,艾特,我去,聪明的,OK,开心,给你,笨狗,见过,我家,九转,大肠,灵石,好厉害,成精,猪头,小子,高考,感觉,我靠,我给,暗中观察,想要",3265749.1056370297,457891.2887196303
"实名,观看,爱看,让我,的人,阿姨,笑死了,拒绝,女色,喜欢,做起,振兴中华,广东,OK,九转,大肠,好看,暴雪,发呆,湖南,地板,朋友,广西,抖音,宕机,不白看,安徽,这是,暗中观察,灵机一动",1336151.1190553019,286581.4124307223
"呼唤,远山,新疆,好美,太美了,工资,这是,孩子,还得,地方,上班,老公,有钱,出发,好想,没钱,我了,好看,不想,感觉,AI,抖音,好漂亮,去过,灵机一动,玩了,有没有,好好看,别搞,美的",7155842.77741757,181800.19081094148
"OK,逆水寒,衣服,好看,好好看,宕机,人民币,想要,九转,大肠,莫名其妙,茶壶,15w,能不能,好美,少爷,我去,买不起,喜欢,小姐,咬咬牙,发呆,逞强,落泪,感觉,真好看,给我,翅膀,不买,有钱人",-1078991.77180205,115278.86527835688
